SiteName,UnitCode,LocationName,Datum,Latitude,Longitude
Gulf Islands Mississippi Unit,GUIS,GUISMS26,WGS84,30.3901005,-88.7890015
Gulf Islands Mississippi Unit,GUIS,GUISMS27,WGS84,30.3967991,-88.7879028
Gulf Islands Mississippi Unit,GUIS,GUISMS28,WGS84,30.4008999,-88.7931976
Gulf Islands Mississippi Unit,GUIS,GUISMS29,WGS84,30.4013004,-88.7778015
Gulf Islands Mississippi Unit,GUIS,GUISMS03,WGS84,30.2418995,-88.7549973
Gulf Islands Mississippi Unit,GUIS,GUISMS30,WGS84,30.3941994,-88.7883987
Gulf Islands Mississippi Unit,GUIS,GUISMS31,WGS84,30.4071007,-88.7795029
Gulf Islands Mississippi Unit,GUIS,GUISMS32,WGS84,30.3969002,-88.7820969
Gulf Islands Mississippi Unit,GUIS,GUISMS33,WGS84,30.4101009,-88.7789993
Gulf Islands Mississippi Unit,GUIS,GUISMS34,WGS84,30.3974991,-88.7774963
Gulf Islands Mississippi Unit,GUIS,GUISMS35,WGS84,30.3957996,-88.7846985
Gulf Islands Mississippi Unit,GUIS,GUISMS36,WGS84,30.3985004,-88.7854996
Gulf Islands Mississippi Unit,GUIS,GUISMS37,WGS84,30.4050007,-88.7781982
Gulf Islands Mississippi Unit,GUIS,GUISMS38,WGS84,30.3896008,-88.7918015
Gulf Islands Mississippi Unit,GUIS,GUISMS39,WGS84,30.3959999,-88.7794037
Gulf Islands Mississippi Unit,GUIS,GUISMS04,WGS84,30.2052994,-88.4207001
Gulf Islands Mississippi Unit,GUIS,GUISMS40,WGS84,30.3920002,-88.7873993
Gulf Islands Mississippi Unit,GUIS,GUISMS05,WGS84,30.2115993,-88.9525986
Gulf Islands Mississippi Unit,GUIS,GUISMS06,WGS84,30.1996002,-88.4489975
Gulf Islands Mississippi Unit,GUIS,GUISMS07,WGS84,30.2453995,-88.7349014
Gulf Islands Mississippi Unit,GUIS,GUISMS08,WGS84,30.2138996,-88.9499969
Gulf Islands Mississippi Unit,GUIS,GUISMS09,WGS84,30.2268009,-89.1168976
Palo Alto Battlefield NHP,PAAL,PAAL04,WGS84,26.0380001,-97.4722977
Palo Alto Battlefield NHP,PAAL,PAAL05,WGS84,26.0259991,-97.464798
Palo Alto Battlefield NHP,PAAL,PAAL06,WGS84,26.0263996,-97.4713974
Palo Alto Battlefield NHP,PAAL,PAAL08,WGS84,26.0104008,-97.4750977
Palo Alto Battlefield NHP,PAAL,PAAL09,WGS84,26.0144997,-97.4758987
Palo Alto Battlefield NHP,PAAL,PAAL10,WGS84,26.0132999,-97.4707031
Palo Alto Battlefield NHP,PAAL,PAAL12,WGS84,26.0349998,-97.4740982
Palo Alto Battlefield NHP,PAAL,PAAL15,WGS84,26.0076008,-97.466301
Palo Alto Battlefield NHP,PAAL,PAAL16,WGS84,26.0335999,-97.4641037
Palo Alto Battlefield NHP,PAAL,PAAL21,WGS84,26.0049992,-97.4686966
Palo Alto Battlefield NHP,PAAL,PAAL22,WGS84,26.0312996,-97.4731979
Palo Alto Battlefield NHP,PAAL,PAAL26,WGS84,26.0277004,-97.4748993
Palo Alto Battlefield NHP,PAAL,PAAL31,WGS84,26.0172005,-97.4719009
Palo Alto Battlefield NHP,PAAL,PAAL33,WGS84,26.0228004,-97.4800034
Palo Alto Battlefield NHP,PAAL,PAAL34,WGS84,26.0226002,-97.4709015
Palo Alto Battlefield NHP,PAAL,PAAL36,WGS84,26.0349007,-97.4689026
Palo Alto Battlefield NHP,PAAL,PAAL38,WGS84,26.0112991,-97.4682007
Palo Alto Battlefield NHP,PAAL,PAAL39,WGS84,26.0200996,-97.4662018
Palo Alto Battlefield NHP,PAAL,PAAL40,WGS84,26.0167007,-97.4779968
Palo Alto Battlefield NHP,PAAL,PAAL41,WGS84,26.0279999,-97.4655991
Palo Alto Battlefield NHP,PAAL,PAAL43,WGS84,26.0266991,-97.4688034
Palo Alto Battlefield NHP,PAAL,PAAL45,WGS84,26.0098991,-97.4723969
Palo Alto Battlefield NHP,PAAL,PAAL48,WGS84,26.0195007,-97.4738007
Palo Alto Battlefield NHP,PAAL,PAAL49,WGS84,26.0373001,-97.4764023
Palo Alto Battlefield NHP,PAAL,PAAL51,WGS84,26.0170994,-97.4682999
Palo Alto Battlefield NHP,PAAL,PAAL54,WGS84,26.0063992,-97.4707031
Palo Alto Battlefield NHP,PAAL,PAAL55,WGS84,26.0226994,-97.475502
Palo Alto Battlefield NHP,PAAL,PAAL57,WGS84,26.0303001,-97.4770966
Palo Alto Battlefield NHP,PAAL,PAAL58,WGS84,26.031601,-97.4661026
San Antonio Missions,SAAN,SAAN01,WGS84,29.0960007,-98.1660004
San Antonio Missions,SAAN,SAAN02,WGS84,29.0981998,-98.1629028
San Antonio Missions,SAAN,SAAN03,WGS84,29.0988998,-98.1651993
San Antonio Missions,SAAN,SAAN04,WGS84,29.0977001,-98.1673965
San Antonio Missions,SAAN,SAAN05,WGS84,29.0995998,-98.1605988
San Antonio Missions,SAAN,SAAN06,WGS84,29.0939999,-98.1668015
San Antonio Missions,SAAN,SAAN07,WGS84,29.3374996,-98.4560013
San Antonio Missions,SAAN,SAAN08,WGS84,29.3323002,-98.4496002
San Antonio Missions,SAAN,SAAN09,WGS84,29.3292999,-98.4552002
San Antonio Missions,SAAN,SAAN10,WGS84,29.3575993,-98.4664993
San Antonio Missions,SAAN,SAAN11,WGS84,29.3304996,-98.4522018
San Antonio Missions,SAAN,SAAN12,WGS84,29.3253002,-98.4567032
San Antonio Missions,SAAN,SAAN13,WGS84,29.3227005,-98.4555969
San Antonio Missions,SAAN,SAAN14,WGS84,29.3267994,-98.4586029
San Antonio Missions,SAAN,SAAN15,WGS84,29.3476009,-98.4680023
San Antonio Missions,SAAN,SAAN16,WGS84,29.3337002,-98.4529037
San Antonio Missions,SAAN,SAAN17,WGS84,29.3313999,-98.4476013
San Antonio Missions,SAAN,SAAN18,WGS84,29.3481998,-98.4636993
San Antonio Missions,SAAN,SAAN19,WGS84,29.3428993,-98.4582977
San Antonio Missions,SAAN,SAAN20,WGS84,29.3596992,-98.4679031
San Antonio Missions,SAAN,SAAN21,WGS84,29.3188,-98.4489975
San Antonio Missions,SAAN,SAAN22,WGS84,29.3402004,-98.4573975
San Antonio Missions,SAAN,SAAN23,WGS84,29.3171997,-98.4468994
San Antonio Missions,SAAN,SAAN24,WGS84,29.3318996,-98.4615021
San Antonio Missions,SAAN,SAAN25,WGS84,29.3278999,-98.4615021
San Antonio Missions,SAAN,SAAN26,WGS84,29.3384991,-98.4625015
San Antonio Missions,SAAN,SAAN27,WGS84,29.3320999,-98.4564972
San Antonio Missions,SAAN,SAAN28,WGS84,29.3290997,-98.447998
San Antonio Missions,SAAN,SAAN29,WGS84,29.3796997,-98.4934998
San Antonio Missions,SAAN,SAAN30,WGS84,29.3899994,-98.4933014
San Antonio Missions,SAAN,SAAN31,WGS84,29.3174,-98.4509964
San Antonio Missions,SAAN,SAAN32,WGS84,29.3202,-98.4511032
San Antonio Missions,SAAN,SAAN33,WGS84,29.3225994,-98.4511032
San Antonio Missions,SAAN,SAAN34,WGS84,29.3286991,-98.4593964
San Antonio Missions,SAAN,SAAN35,WGS84,29.3362007,-98.4589996
San Antonio Missions,SAAN,SAAN36,WGS84,29.3369999,-98.4537964
San Antonio Missions,SAAN,SAAN37,WGS84,29.3279991,-98.4506989
San Antonio Missions,SAAN,SAAN38,WGS84,29.3605003,-98.479599
San Antonio Missions,SAAN,SAAN39,WGS84,29.3635006,-98.4801025
San Antonio Missions,SAAN,SAAN40,WGS84,29.3918991,-98.4916
Big Thicket Turkey Creek Unit,BITH,TC01,WGS84,30.5795002,-94.3422012
Big Thicket Turkey Creek Unit,BITH,TC02,WGS84,30.4766998,-94.3532028
Big Thicket Turkey Creek Unit,BITH,TC03,WGS84,30.4687996,-94.3594971
Big Thicket Turkey Creek Unit,BITH,TC04,WGS84,30.5573997,-94.344902
Big Thicket Turkey Creek Unit,BITH,TC05,WGS84,30.5326996,-94.3392029
Big Thicket Turkey Creek Unit,BITH,TC06,WGS84,30.5618,-94.3472977
Big Thicket Turkey Creek Unit,BITH,TC07,WGS84,30.5221996,-94.3467026
Big Thicket Turkey Creek Unit,BITH,TC08,WGS84,30.5970001,-94.3472977
Big Thicket Turkey Creek Unit,BITH,TC09,WGS84,30.5506992,-94.3414001
Big Thicket Turkey Creek Unit,BITH,TC10,WGS84,30.6009998,-94.3560028
Big Thicket Turkey Creek Unit,BITH,TC11,WGS84,30.4762993,-94.3373032
Big Thicket Turkey Creek Unit,BITH,TC12,WGS84,30.5485992,-94.344101
Big Thicket Turkey Creek Unit,BITH,TC13,WGS84,30.5881996,-94.3544998
Big Thicket Turkey Creek Unit,BITH,TC14,WGS84,30.5312996,-94.3431015
Big Thicket Turkey Creek Unit,BITH,TC15,WGS84,30.5447006,-94.3336029
Big Thicket Turkey Creek Unit,BITH,TC16,WGS84,30.4610996,-94.3560028
Big Thicket Turkey Creek Unit,BITH,TC17,WGS84,30.5611992,-94.3336029
Big Thicket Turkey Creek Unit,BITH,TC18,WGS84,30.5846996,-94.3358994
Big Thicket Turkey Creek Unit,BITH,TC19,WGS84,30.4715004,-94.3476028
Big Thicket Turkey Creek Unit,BITH,TC20,WGS84,30.5855007,-94.3554001
Big Thicket Turkey Creek Unit,BITH,TC21,WGS84,30.5622005,-94.3393021
Big Thicket Turkey Creek Unit,BITH,TC22,WGS84,30.5352993,-94.3376999
Big Thicket Turkey Creek Unit,BITH,TC23,WGS84,30.5555992,-94.3473969
Big Thicket Turkey Creek Unit,BITH,TC24,WGS84,30.6114006,-94.3562012
Big Thicket Turkey Creek Unit,BITH,TC25,WGS84,30.5459003,-94.3567963
Big Thicket Turkey Creek Unit,BITH,TC26,WGS84,30.5443001,-94.3507996
Big Thicket Turkey Creek Unit,BITH,TC27,WGS84,30.6119003,-94.3498001
Big Thicket Turkey Creek Unit,BITH,TC28,WGS84,30.5174999,-94.3447037
Big Thicket Turkey Creek Unit,BITH,TC29,WGS84,30.5646992,-94.3331985
Big Thicket Turkey Creek Unit,BITH,TC30,WGS84,30.5862999,-94.3486023
Big Thicket Turkey Creek Unit,BITH,TC31,WGS84,30.5245991,-94.3368988
Big Thicket Turkey Creek Unit,BITH,TC32,WGS84,30.5923996,-94.3403015
Big Thicket Turkey Creek Unit,BITH,TC33,WGS84,30.5410004,-94.3491974
Big Thicket Turkey Creek Unit,BITH,TC34,WGS84,30.5534992,-94.3539963
Big Thicket Turkey Creek Unit,BITH,TC35,WGS84,30.5293999,-94.3343964
Big Thicket Turkey Creek Unit,BITH,TC36,WGS84,30.5645008,-94.3463974
Big Thicket Turkey Creek Unit,BITH,TC37,WGS84,30.4743004,-94.3450012
Big Thicket Turkey Creek Unit,BITH,TC38,WGS84,30.5130005,-94.339798
Big Thicket Turkey Creek Unit,BITH,TC39,WGS84,30.4659996,-94.3345032
Big Thicket Turkey Creek Unit,BITH,TC40,WGS84,30.4976997,-94.3347015
Big Thicket Turkey Creek Unit,BITH,UKN,NA,0,0
Jean Lafitte Barataria Unit,JELA,BP 41,WGS84,29.84968,-90.13183
Jean Lafitte Barataria Unit,JELA,BP 42,WGS84,29.84177,-90.12486
Jean Lafitte Barataria Unit,JELA,BP 43,WGS84,29.8419,-90.128
Jean Lafitte Barataria Unit,JELA,BP 44,WGS84,29.77963,-90.09815
