uniq_Id,Park_Unit,Location_Name,X,Y,Active,Map_Class,Physiognomy
204,Palo Alto Battlefield NHP,PAAL36,26.0349007,-97.4689026,TRUE,Borrichia frutescens Prairie,prairie
205,Palo Alto Battlefield NHP,PAAL38,26.0112991,-97.4682007,TRUE,Borrichia frutescens Prairie,prairie
206,Palo Alto Battlefield NHP,PAAL39,26.0200996,-97.4662018,TRUE,Spartina spartinae Prairie,prairie
207,Palo Alto Battlefield NHP,PAAL40,26.0167007,-97.4779968,TRUE,Borrichia frutescens Prairie,prairie
208,Palo Alto Battlefield NHP,PAAL41,26.0279999,-97.4655991,TRUE,Mesquital Prairie,prairie
209,Palo Alto Battlefield NHP,PAAL43,26.0266991,-97.4688034,TRUE,Dead and Sparse grasses,grassland
210,Palo Alto Battlefield NHP,PAAL45,26.0098991,-97.4723969,TRUE,Borrichia frutescens Prairie,prairie
211,Palo Alto Battlefield NHP,PAAL48,26.0195007,-97.4738007,TRUE,Borrichia frutescens Prairie,prairie
212,Palo Alto Battlefield NHP,PAAL49,26.0373001,-97.4764023,TRUE,Sonchus asper Prairie,prairie
213,Palo Alto Battlefield NHP,PAAL51,26.0170994,-97.4682999,TRUE,Spartina spartinae Prairie,prairie
214,Palo Alto Battlefield NHP,PAAL54,26.0063992,-97.4707031,TRUE,Borrichia frutescens Prairie,prairie
215,Palo Alto Battlefield NHP,PAAL55,26.0226994,-97.475502,TRUE,Spartina spartinae Prairie,prairie
216,Palo Alto Battlefield NHP,PAAL57,26.0303001,-97.4770966,TRUE,Sonchus asper Prairie,prairie
217,Palo Alto Battlefield NHP,PAAL58,26.031601,-97.4661026,TRUE,Spartina spartinae Prairie,prairie
254,San Antonio Missions,SAAN01,29.0960007,-98.1660004,TRUE,Honey Mesquite - Granjeno / Prickly-pear species - South Texas Ericameria Woodland,Deciduous Woodland
255,San Antonio Missions,SAAN02,29.0981998,-98.1629028,TRUE,Planted / Cultivated,Fields and Croplands
