OID_,Join_Count,TARGET_FID,id_db,id_protocol,Latitude,Longitude,SiteName,UnitCode,park,latitude_1,longitude_1,utmX,utmY,utmZone,monBeginDate,monEndDate
81,1,81,GUISMS39,MS_39,30.3959999,-88.7794037,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39598477,-88.77934694,329058.0203,3364008.294,utm16,20130608,
82,1,82,GUISMS40,MS_40,30.3920002,-88.7873993,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39196315,-88.78741049,328276.1931,3363574.74,utm16,20120213,
83,1,83,PAAL04,Ba_04,26.0380001,-97.4722977,Palo Alto Battlefield NHP,PAAL,PAAL,26.03796702,-97.47225541,652855.1459,2880783.157,utm14,20110613,
84,1,84,PAAL05,Ba_05,26.0259991,-97.464798,Palo Alto Battlefield NHP,PAAL,PAAL,26.02599838,-97.46482873,653613.9095,2879466.128,utm14,20110610,
85,1,85,PAAL06,Ba_06,26.0263996,-97.4713974,Palo Alto Battlefield NHP,PAAL,PAAL,26.02637204,-97.47143894,652951.8896,2879499.755,utm14,20110609,
86,1,86,PAAL08,Ba_08,26.0104008,-97.4750977,Palo Alto Battlefield NHP,PAAL,PAAL,26.01042691,-97.47512263,652603.8612,2877729.23,utm14,20110609,
87,1,87,PAAL09,Ba_09,26.0144997,-97.4758987,Palo Alto Battlefield NHP,PAAL,PAAL,26.01451149,-97.4759425,652516.5199,2878180.714,utm14,20110609,
88,1,88,PAAL10,Ba_10,26.0132999,-97.4707031,Palo Alto Battlefield NHP,PAAL,PAAL,26.01332526,-97.47070613,653042.1533,2878055.442,utm14,20110609,
89,1,89,PAAL12,Ba_12,26.0349998,-97.4740982,Palo Alto Battlefield NHP,PAAL,PAAL,26.0349794,-97.47414563,652669.8665,2880450.011,utm14,20110603,
90,1,90,PAAL15,Ba_15,26.0076008,-97.466301,Palo Alto Battlefield NHP,PAAL,PAAL,26.00760567,-97.46626603,653493.995,2877427.104,utm14,20110606,
91,1,91,PAAL16,Ba_16,26.0335999,-97.4641037,Palo Alto Battlefield NHP,PAAL,PAAL,26.03358789,-97.46408175,653678.7741,2880307.688,utm14,20110602,
92,1,92,PAAL21,Ba_21,26.0049992,-97.4686966,Palo Alto Battlefield NHP,PAAL,PAAL,26.00496278,-97.4687134,653252.4613,2877131.481,utm14,20110606,
93,1,93,PAAL22,Ba_22,26.0312996,-97.4731979,Palo Alto Battlefield NHP,PAAL,PAAL,26.03129205,-97.47320487,652768.7862,2880042.669,utm14,20110602,
94,1,94,PAAL26,Ba_26,26.0277004,-97.4748993,Palo Alto Battlefield NHP,PAAL,PAAL,26.02773821,-97.47494708,652599.0372,2879646.977,utm14,20110602,
95,1,95,PAAL31,Ba_31,26.0172005,-97.4719009,Palo Alto Battlefield NHP,PAAL,PAAL,26.01723726,-97.47185975,652921.6193,2878487.417,utm14,20110607,
96,1,96,PAAL33,Ba_33,26.0228004,-97.4800034,Palo Alto Battlefield NHP,PAAL,PAAL,26.02280784,-97.47997216,652102.5052,2879094.984,utm14,20110608,
97,1,97,PAAL34,Ba_34,26.0226002,-97.4709015,Palo Alto Battlefield NHP,PAAL,PAAL,26.02256234,-97.47092388,653008.3788,2879078.364,utm14,20110613,
98,1,98,PAAL36,Ba_36,26.0349007,-97.4689026,Palo Alto Battlefield NHP,PAAL,PAAL,26.03489017,-97.46892611,653192.2999,2880446.243,utm14,20110613,
99,1,99,PAAL38,Ba_38,26.0112991,-97.4682007,Palo Alto Battlefield NHP,PAAL,PAAL,26.01131971,-97.46817483,653298.1125,2877836.26,utm14,20110610,
100,1,100,PAAL39,Ba_39,26.0200996,-97.4662018,Palo Alto Battlefield NHP,PAAL,PAAL,26.02005218,-97.4662206,653482.3517,2878805.838,utm14,20110613,
101,1,101,PAAL40,Ba_40,26.0167007,-97.4779968,Palo Alto Battlefield NHP,PAAL,PAAL,26.01668779,-97.47796068,652311.7168,2878419.422,utm14,20110609,
102,1,102,PAAL41,Ba_41,26.0279999,-97.4655991,Palo Alto Battlefield NHP,PAAL,PAAL,26.02799887,-97.4656133,653532.7876,2879686.796,utm14,20110610,
103,1,103,PAAL43,Ba_43,26.0266991,-97.4688034,Palo Alto Battlefield NHP,PAAL,PAAL,26.02668659,-97.46882902,653212.6752,2879537.658,utm14,20110608,
104,1,104,PAAL45,Ba_45,26.0098991,-97.4723969,Palo Alto Battlefield NHP,PAAL,PAAL,26.00993225,-97.47235123,652881.8935,2877677.678,utm14,20110609,
105,1,105,PAAL48,Ba_48,26.0195007,-97.4738007,Palo Alto Battlefield NHP,PAAL,PAAL,26.01948684,-97.47380534,652723.9818,2878734.322,utm14,20110609,
106,1,106,PAAL49,Ba_49,26.0373001,-97.4764023,Palo Alto Battlefield NHP,PAAL,PAAL,26.03729753,-97.47636212,652445.0647,2880704.195,utm14,20110613,
107,1,107,PAAL51,Ba_51,26.0170994,-97.4682999,Palo Alto Battlefield NHP,PAAL,PAAL,26.01712236,-97.46831617,653276.4284,2878478.845,utm14,20110607,
108,1,108,PAAL54,Ba_54,26.0063992,-97.4707031,Palo Alto Battlefield NHP,PAAL,PAAL,26.00640177,-97.47073321,653048.4218,2877288.508,utm14,20110606,
109,1,109,PAAL55,Ba_55,26.0226994,-97.475502,Palo Alto Battlefield NHP,PAAL,PAAL,26.02270487,-97.47552868,652547.3433,2879088.763,utm14,20110609,
110,1,110,PAAL57,Ba_57,26.0303001,-97.4770966,Palo Alto Battlefield NHP,PAAL,PAAL,26.03025155,-97.47709322,652381.0115,2879922.869,utm14,20110613,
111,1,111,PAAL58,Ba_58,26.031601,-97.4661026,Palo Alto Battlefield NHP,PAAL,PAAL,26.0315683,-97.46613314,653476.1177,2880081.566,utm14,20110613,
112,0,112,SAAN01,,29.0960007,-98.1660004,San Antonio Missions,SAAN,,,,,,,,
113,1,113,SAAN02,Ra_02,29.0981998,-98.1629028,San Antonio Missions,SAAN,SAAN,29.09821808,-98.1628687,581460.8716,3219156.832,utm14,20100531,
