order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1778,BITH,no,Cooper's Hawk,Accipiter cooperii,COHA,no,yes,not landbird,NA,NA,NA_NA
1779,BITH,no,Sharp-shinned Hawk,Accipiter striatus,SSHA,no,yes,not landbird,NA,NA,NA_NA
1780,BITH,no,Spotted Sandpiper,Actitis macularius,SPSA,no,yes,not landbird,NA,NA,NA_NA
86,BITH,yes,Red-winged Blackbird,Agelaius phoeniceus,RWBL,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1781,BITH,no,Wood Duck,Aix sponsa,WODU,no,yes,not landbird,NA,NA,NA_NA
88,BITH,yes,Henslow's Sparrow,Ammodramus henslowii,HESP,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
91,BITH,yes,Le Conte's Sparrow,Ammodramus leconteii,LCSP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
103,BITH,yes,Grasshopper Sparrow,Ammodramus savannarum,GRSP,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1803,BITH,no,Northern Pintail,Anas acuta,NOPI,no,no,not landbird,NA,NA,NA_NA
1804,BITH,no,American Wigeon,Anas americana,AMWI,no,no,not landbird,NA,NA,NA_NA
1805,BITH,no,Northern Shoveler,Anas clypeata,NSHO,no,no,not landbird,NA,NA,NA_NA
1806,BITH,no,Green-winged Teal,Anas crecca,GWTE,no,no,not landbird,NA,NA,NA_NA
1807,BITH,no,Cinnamon Teal,Anas cyanoptera,CITE,no,no,not landbird,NA,NA,NA_NA
1808,BITH,no,Blue-winged Teal,Anas discors,BWTE,no,no,not landbird,NA,NA,NA_NA
1800,BITH,no,Mottled Duck,Anas fulvigula,MODU,no,noa,not landbird,NA,NA,NA_NA
1809,BITH,no,Mallard,Anas platyrhynchos,MALL,no,no,not landbird,NA,NA,NA_NA
1810,BITH,no,Gadwall,Anas strepera,GADW,no,no,not landbird,NA,NA,NA_NA
1782,BITH,no,Anhinga,Anhinga anhinga,ANHI,no,yes,not landbird,NA,NA,NA_NA
1811,BITH,no,Greater White-fronted Goose,Anser albifrons,GWFG,no,no,not landbird,NA,NA,NA_NA
110,BITH,yes,American Pipit,Anthus rubescens,AMPI,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
113,BITH,yes,Sprague's Pipit,Anthus spragueii,SPPI,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
122,BITH,yes,Ruby-throated Hummingbird,Archilochus colubris,RTHU,yes,yes,,Nectarivore,NA,Nectarivore_NA
1783,BITH,no,Great Egret,Ardea alba,GREG,no,yes,not landbird,NA,NA,NA_NA
1774,BITH,no,Great Blue Heron,Ardea herodias,GBHE,yes,yes,not landbird,NA,NA,NA_NA
1812,BITH,no,Ruddy Turnstone,Arenaria interpres,RUTU,no,no,not landbird,NA,NA,NA_NA
1813,BITH,no,Short-eared Owl,Asio flammeus,SEOW,no,no,not landbird,NA,NA,NA_NA
1814,BITH,no,Long-eared Owl,Asio otus,LEOW,no,no,not landbird,NA,NA,NA_NA
1815,BITH,no,Lesser Scaup,Aythya affinis,LESC,no,no,not landbird,NA,NA,NA_NA
1816,BITH,no,Redhead,Aythya americana,REDH,no,no,not landbird,NA,NA,NA_NA
1817,BITH,no,Ring-necked Duck,Aythya collaris,RNDU,no,no,not landbird,NA,NA,NA_NA
1818,BITH,no,Greater Scaup,Aythya marila,GRSC,no,no,not landbird,NA,NA,NA_NA
1819,BITH,no,Canvasback,Aythya valisineria,CANV,no,no,not landbird,NA,NA,NA_NA
137,BITH,yes,Tufted Titmouse,Baeolophus bicolor,TUTI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1820,BITH,no,Upland Sandpiper,Bartramia longicauda,UPSA,no,no,not landbird,NA,NA,NA_NA
144,BITH,yes,Cedar Waxwing,Bombycilla cedrorum,CEDW,no,no,,Frugivore, upper-canopy gleaner,Frugivore_ upper-canopy gleaner
1821,BITH,no,American Bittern,Botaurus lentiginosus,AMBI,no,no,not landbird,NA,NA,NA_NA
1822,BITH,no,Canada Goose,Branta canadensis,CANG,no,no,not landbird,NA,NA,NA_NA
1784,BITH,no,Great Horned Owl,Bubo virginianus,GHOW,no,yes,not landbird,NA,NA,NA_NA
1801,BITH,no,Cattle Egret,Bubulcus ibis,CAEG,no,noa,not landbird,NA,NA,NA_NA
1823,BITH,no,Bufflehead,Bucephala albeola,BUFF,no,no,not landbird,NA,NA,NA_NA
1824,BITH,no,Common Goldeneye,Bucephala clangula,COGO,no,no,not landbird,NA,NA,NA_NA
1785,BITH,no,Red-tailed Hawk,Buteo jamaicensis,RTHA,no,yes,not landbird,NA,NA,NA_NA
1775,BITH,no,Red-shouldered Hawk,Buteo lineatus,RSHA,yes,yes,not landbird,NA,NA,NA_NA
1786,BITH,no,Broad-winged Hawk,Buteo platypterus,BWHA,no,yes,not landbird,NA,NA,NA_NA
1825,BITH,no,Swainson's Hawk,Buteo swainsoni,SWHA,no,no,not landbird,NA,NA,NA_NA
1787,BITH,no,Green Heron,Butorides virescens,GRHE,no,yes,not landbird,NA,NA,NA_NA
147,BITH,yes,Lapland Longspur,Calcarius lapponicus,LALO,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1826,BITH,no,Sanderling,Calidris alba,SAND,no,no,not landbird,NA,NA,NA_NA
1827,BITH,no,Dunlin,Calidris alpina,DUNL,no,no,not landbird,NA,NA,NA_NA
1828,BITH,no,Baird's Sandpiper,Calidris bairdii,BASA,no,no,not landbird,NA,NA,NA_NA
1829,BITH,no,White-rumped Sandpiper,Calidris fuscicollis,WRSA,no,no,not landbird,NA,NA,NA_NA
1830,BITH,no,Stilt Sandpiper,Calidris himantopus,STSA,no,no,not landbird,NA,NA,NA_NA
1831,BITH,no,Western Sandpiper,Calidris mauri,WESA,no,no,not landbird,NA,NA,NA_NA
1832,BITH,no,Pectoral Sandpiper,Calidris melanotos,PESA,no,no,not landbird,NA,NA,NA_NA
1833,BITH,no,Least Sandpiper,Calidris minutilla,LESA,no,no,not landbird,NA,NA,NA_NA
1834,BITH,no,Semipalmated Sandpiper,Calidris pusilla,SESA,no,no,not landbird,NA,NA,NA_NA
156,BITH,yes,Chuck-will's-widow,Caprimulgus carolinensis,CWWI,no,yes,,Insectivore,nocturnal,Insectivore_nocturnal
164,BITH,yes,Whip-poor-will,Caprimulgus vociferus,EWPW,yes,yes,,Insectivore,nocturnal,Insectivore_nocturnal
1835,BITH,no,Crested Caracara,Caracara cheriway,CRCA,no,no,not landbird,NA,NA,NA_NA
171,BITH,yes,Canada Warbler,Cardellina canadensis,CAWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
177,BITH,yes,Wilson's Warbler,Cardellina pusilla,WIWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
185,BITH,yes,Northern Cardinal,Cardinalis cardinalis,NOCA,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1776,BITH,no,Turkey Vulture,Cathartes aura,TUVU,yes,yes,not landbird,NA,NA,NA_NA
194,BITH,yes,Veery,Catharus fuscescens,VEER,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
201,BITH,yes,Hermit Thrush,Catharus guttatus,HETH,no,nob,,Insectivore, ground gleaner,Insectivore_ ground gleaner
208,BITH,yes,Gray-cheeked Thrush,Catharus minimus,GCTH,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
215,BITH,yes,Swainson's Thrush,Catharus ustulatus,SWTH,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
223,BITH,yes,Brown Creeper,Certhia americana,BRCR,no,noc,,Insectivore, bark gleaner,Insectivore_ bark gleaner
230,BITH,yes,Belted Kingfisher,Ceryle alcyon,BEKI,no,no,,Carnivore,freshwater-forager,Carnivore_freshwater-forager
238,BITH,yes,Chimney Swift,Chaetura pelagica,CHSW,yes,yes,,Insectivore,air hawker above canopy,Insectivore_air hawker above canopy
1836,BITH,no,Semipalmated Plover,Charadrius semipalmatus,SEPL,no,no,not landbird,NA,NA,NA_NA
1837,BITH,no,Killdeer,Charadrius vociferus,KILL,no,no,not landbird,NA,NA,NA_NA
1838,BITH,no,Snow Goose,Chen caerulescens,SNGO,no,no,not landbird,NA,NA,NA_NA
1839,BITH,no,Black Tern,Chlidonias niger,BLTE,no,no,not landbird,NA,NA,NA_NA
247,BITH,yes,Lark Sparrow,Chondestes grammacus,LASP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
260,BITH,yes,Common Nighthawk,Chordeiles minor,CONI,no,yes,,Insectivore,nocturnal,Insectivore_nocturnal
1861,BITH,no,Bonaparte's Gull,Chroicocephalus philadelphia,BOGU,no,no,not landbird,NA,NA,NA_NA
1840,BITH,no,Northern Harrier,Circus cyaneus,NOHA,no,no,not landbird,NA,NA,NA_NA
265,BITH,yes,Marsh Wren,Cistothorus palustris,MAWR,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
270,BITH,yes,Sedge Wren,Cistothorus platensis,SEWR,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
278,BITH,yes,Yellow-billed Cuckoo,Coccyzus americanus,YBCU,yes,yes,,Insectivore,upper canopy foliage gleaner,Insectivore_upper canopy foliage gleaner
285,BITH,yes,Black-billed Cuckoo,Coccyzus erythropthalmus,BBCU,no,no,,Insectivore,upper canopy foliage gleaner,Insectivore_upper canopy foliage gleaner
294,BITH,yes,Northern Flicker,Colaptes auratus,NOFL,no,noc,,Insectivore,ground gleaner,Insectivore_ground gleaner
1777,BITH,no,Northern Bobwhite,Colinus virginianus,NOBO,yes,yes,not landbird,NA,NA,NA_NA
302,BITH,yes,Rock Dove,Columba livia,ROPI,no,no,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
306,BITH,yes,Inca Dove,Columbina inca,INDO,no,no,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
312,BITH,yes,Common Ground Dove,Columbina passerina,COGD,no,no,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
316,BITH,yes,Olive-sided Flycatcher,Contopus cooperi,OSFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
324,BITH,yes,Eastern Wood-pewee,Contopus virens,EAWP,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1788,BITH,no,Black Vulture,Coragyps atratus,BLVU,no,yes,not landbird,NA,NA,NA_NA
328,BITH,yes,American Crow,Corvus brachyrhynchos,AMCR,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
335,BITH,yes,Fish Crow,Corvus ossifragus,FICR,no,no,,Omnivore, ground forager,Omnivore_ ground forager
341,BITH,yes,Groove-billed Ani,Crotophaga sulcirostris,GBAN,no,no,,Insectivore,ground gleaner,Insectivore_ground gleaner
347,BITH,yes,Blue Jay,Cyanocitta cristata,BLJA,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
1841,BITH,no,Black-bellied Whistling-duck,Dendrocygna autumnalis,BBWD,no,no,not landbird,NA,NA,NA_NA
1842,BITH,no,Fulvous Whistling-duck,Dendrocygna bicolor,FUWD,no,no,not landbird,NA,NA,NA_NA
355,BITH,yes,Bobolink,Dolichonyx oryzivorus,BOBO,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
360,BITH,yes,Pileated Woodpecker,Dryocopus pileatus,PIWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
426,BITH,yes,Gray Catbird,Dumetella carolinensis,GRCA,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1789,BITH,no,Little Blue Heron,Egretta caerulea,LBHE,no,yes,not landbird,NA,NA,NA_NA
1843,BITH,no,Reddish Egret,Egretta rufescens,REEG,no,no,not landbird,NA,NA,NA_NA
1790,BITH,no,Snowy Egret,Egretta thula,SNEG,no,yes,not landbird,NA,NA,NA_NA
1791,BITH,no,Tricolored Heron,Egretta tricolor,TRHE,no,yes,not landbird,NA,NA,NA_NA
1844,BITH,no,Swallow-tailed Kite,Elanoides forficatus,STKI,no,no,not landbird,NA,NA,NA_NA
1845,BITH,no,White-tailed Kite,Elanus leucurus,WTKI,no,no,not landbird,NA,NA,NA_NA
437,BITH,yes,Yellow-bellied Flycatcher,Empidonax flaviventris,YBFL,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
444,BITH,yes,Least Flycatcher,Empidonax minimus,LEFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
454,BITH,yes,Acadian Flycatcher,Empidonax virescens,ACFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
458,BITH,yes,Horned Lark,Eremophila alpestris,HOLA,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1792,BITH,no,White Ibis,Eudocimus albus,WHIB,no,yes,not landbird,NA,NA,NA_NA
464,BITH,yes,Rusty Blackbird,Euphagus carolinus,RUBL,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
470,BITH,yes,Brewer's Blackbird,Euphagus cyanocephalus,BRBL,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1846,BITH,no,Merlin,Falco columbarius,MERL,no,no,not landbird,NA,NA,NA_NA
1847,BITH,no,Peregrine Falcon,Falco peregrinus,PEFA,no,no,not landbird,NA,NA,NA_NA
1793,BITH,no,American Kestrel,Falco sparverius,AMKE,no,yes,not landbird,NA,NA,NA_NA
1848,BITH,no,Magnificent Frigatebird,Fregata magnificens,MAFR,no,no,not landbird,NA,NA,NA_NA
1849,BITH,no,American Coot,Fulica americana,AMCO,no,no,not landbird,NA,NA,NA_NA
1794,BITH,no,Common Snipe,Gallinago gallinago,COSN,no,yes,not landbird,NA,NA,NA_NA
1850,BITH,no,Common Gallinule,Gallinula galeata,COGA,no,no,not landbird,NA,NA,NA_NA
1851,BITH,no,Common Loon,Gavia immer,COLO,no,no,not landbird,NA,NA,NA_NA
1852,BITH,no,Gull-billed Tern,Gelochelidon nilotica,GBTE,no,no,not landbird,NA,NA,NA_NA
474,BITH,yes,Greater Roadrunner,Geococcyx californianus,GRRO,no,yes,,Carnivore,ground hawker,Carnivore_ground hawker
480,BITH,yes,Kentucky Warbler,Geothlypis formosa,KEWA,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
486,BITH,yes,Mourning Warbler,Geothlypis philadelphia,MOWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
493,BITH,yes,Common Yellowthroat,Geothlypis trichas,COYE,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1853,BITH,no,Sandhill Crane,Grus canadensis,SACR,no,no,not landbird,NA,NA,NA_NA
501,BITH,yes,House Finch,Haemorhous mexicanus,HOFI,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
506,BITH,yes,Purple Finch,Haemorhous purpureus,PUFI,no,no,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1854,BITH,no,Bald Eagle,Haliaeetus leucocephalus,BAEA,no,no,not landbird,NA,NA,NA_NA
512,BITH,yes,Worm-eating Warbler,Helmitheros vermivorum ,WEWA,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
516,BITH,yes,Evening Grosbeak,Hesperiphona vespertina,EVGR,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1855,BITH,no,Black-necked Stilt,Himantopus mexicanus,BNST,no,no,not landbird,NA,NA,NA_NA
524,BITH,yes,Barn Swallow,Hirundo rustica,BARS,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1856,BITH,no,Caspian Tern,Hydroprogne caspia,CATE,no,no,not landbird,NA,NA,NA_NA
530,BITH,yes,Wood Thrush,Hylocichla mustelina,WOTH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
538,BITH,yes,Yellow-breasted Chat,Icteria virens,YBCH,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
549,BITH,yes,Baltimore Oriole,Icterus galbula,BAOR,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
558,BITH,yes,Orchard Oriole,Icterus spurius,OROR,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1857,BITH,no,Mississippi Kite,Ictinia mississippiensis,MIKI,no,no,not landbird,NA,NA,NA_NA
1858,BITH,no,Least Bittern,Ixobrychus exilis,LEBI,no,no,not landbird,NA,NA,NA_NA
566,BITH,yes,Dark-eyed Junco,Junco hyemalis,DEJU,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
574,BITH,yes,Loggerhead Shrike,Lanius ludovicianus,LOSH,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1859,BITH,no,Herring Gull,Larus argentatus,HERG,no,no,not landbird,NA,NA,NA_NA
1860,BITH,no,Ring-billed Gull,Larus delawarensis,RBGU,no,no,not landbird,NA,NA,NA_NA
582,BITH,yes,Orange-crowned Warbler,Leiothlypis celata,OCWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
590,BITH,yes,Tennessee Warbler,Leiothlypis peregrina,TEWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
597,BITH,yes,Nashville Warbler,Leiothlypis ruficapilla,NAWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1863,BITH,no,Laughing Gull,Leucophaeus atricilla,LAGU,no,no,not landbird,NA,NA,NA_NA
1862,BITH,no,Franklin's Gull,Leucophaeus pipixcan,FRGU,no,no,not landbird,NA,NA,NA_NA
1864,BITH,no,Short-billed Dowitcher,Limnodromus griseus,SBDO,no,no,not landbird,NA,NA,NA_NA
1865,BITH,no,Long-billed Dowitcher,Limnodromus scolopaceus,LBDO,no,no,not landbird,NA,NA,NA_NA
605,BITH,yes,Swainson's Warbler,Limnothlypis swainsonii,SWWA,no,noc,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1866,BITH,no,Marbled Godwit,Limosa fedoa,MAGO,no,no,not landbird,NA,NA,NA_NA
1867,BITH,no,Hudsonian Godwit,Limosa haemastica,HUGO,no,no,not landbird,NA,NA,NA_NA
1868,BITH,no,Hooded Merganser,Lophodytes cucullatus,HOME,no,no,not landbird,NA,NA,NA_NA
1796,BITH,no,Eastern Screech-Owl,Megascops asio,EASO,no,yes,not landbird,NA,NA,NA_NA
799,BITH,yes,Red-bellied Woodpecker,Melanerpes carolinus,RBWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
804,BITH,yes,Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,no,yes,,Insectivore,air hawker under canopy,Insectivore_air hawker under canopy
1869,BITH,no,Wild Turkey,Meleagris gallopavo,WITU,no,no,not landbird,NA,NA,NA_NA
810,BITH,yes,Swamp Sparrow,Melospiza georgiana,SWSP,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
818,BITH,yes,Lincoln's Sparrow,Melospiza lincolnii,LISP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
826,BITH,yes,Song Sparrow,Melospiza melodia,SOSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1870,BITH,no,Red-breasted Merganser,Mergus serrator,RBME,no,no,not landbird,NA,NA,NA_NA
834,BITH,yes,Northern Mockingbird,Mimus polyglottos,NOMO,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
842,BITH,yes,Black-and-white Warbler,Mniotilta varia,BAWW,no,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
854,BITH,yes,Brown-headed Cowbird,Molothrus ater,BHCO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1802,BITH,no,Wood Stork,Mycteria americana,WOST,no,noa,not landbird,NA,NA,NA_NA
870,BITH,yes,Great Crested Flycatcher,Myiarchus crinitus,GCFL,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1871,BITH,no,Long-billed Curlew,Numenius americanus,LBCU,no,no,not landbird,NA,NA,NA_NA
1872,BITH,no,Eskimo Curlew,Numenius borealis,ESCU,no,no,not landbird,NA,NA,NA_NA
1795,BITH,no,Yellow-crowned Night-Heron,Nyctanassa violacea,YCNH,no,yes,not landbird,NA,NA,NA_NA
1873,BITH,no,Black-crowned Night-Heron,Nycticorax nycticorax,BCNH,no,no,not landbird,NA,NA,NA_NA
1874,BITH,no,Ruddy Duck,Oxyura jamaicensis,RUDU,no,no,not landbird,NA,NA,NA_NA
1875,BITH,no,Osprey,Pandion haliaetus,OSPR,no,no,not landbird,NA,NA,NA_NA
949,BITH,yes,Louisiana Waterthrush,Parkesia motacilla,LOWA,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
956,BITH,yes,Northern Waterthrush,Parkesia noveboracensis,NOWA,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
964,BITH,yes,House Sparrow,Passer domesticus,HOSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
972,BITH,yes,Savannah Sparrow,Passerculus sandwichensis,SAVS,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
977,BITH,yes,Fox Sparrow,Passerella iliaca,FOSP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
986,BITH,yes,Blue Grosbeak,Passerina caerulea,BLGR,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
994,BITH,yes,Painted Bunting,Passerina ciris,PABU,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1002,BITH,yes,Indigo Bunting,Passerina cyanea,INBU,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1876,BITH,no,American White Pelican,Pelecanus erythrorhynchos,AWPE,no,no,not landbird,NA,NA,NA_NA
1015,BITH,yes,Cliff Swallow,Petrochelidon pyrrhonota,CLSW,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1016,BITH,yes,Bachman's Sparrow,Peucaea aestivalis,BACS,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1797,BITH,no,Double-crested Cormorant,Phalacrocorax auritus,DCCO,no,yes,not landbird,NA,NA,NA_NA
1877,BITH,no,Neotropic Cormorant,Phalacrocorax brasilianus,NECO,no,no,not landbird,NA,NA,NA_NA
1878,BITH,no,Wilson's Phalarope,Phalaropus tricolor,WIPH,no,no,not landbird,NA,NA,NA_NA
1028,BITH,yes,Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1032,BITH,yes,Black-headed Grosbeak,Pheucticus melanocephalus,BHGR,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1033,BITH,yes,Red-cockaded Woodpecker,Picoides borealis,RCWO,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1039,BITH,yes,Downy Woodpecker,Picoides pubescens,DOWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1047,BITH,yes,Hairy Woodpecker,Picoides villosus,HAWO,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1055,BITH,yes,Rufous-sided Towhee,Pipilo erythrophthalmus,EATO,no,noc,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1065,BITH,yes,Western Tanager,Piranga ludoviciana,WETA,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1072,BITH,yes,Scarlet Tanager,Piranga olivacea,SCTA,no,nob,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1079,BITH,yes,Summer Tanager,Piranga rubra,SUTA,no,noc,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1879,BITH,no,Roseate Spoonbill,Platalea ajaja,ROSP,no,no,not landbird,NA,NA,NA_NA
1880,BITH,no,White-faced Ibis,Plegadis chihi,WFIB,no,no,not landbird,NA,NA,NA_NA
1881,BITH,no,Lesser Golden Plover,Pluvialis dominica,AMGP,no,no,not landbird,NA,NA,NA_NA
1882,BITH,no,Black-bellied Plover,Pluvialis squatarola,BBPL,no,no,not landbird,NA,NA,NA_NA
1883,BITH,no,Horned Grebe,Podiceps auritus,HOGR,no,no,not landbird,NA,NA,NA_NA
1884,BITH,no,Eared Grebe,Podiceps nigricollis,EAGR,no,no,not landbird,NA,NA,NA_NA
1885,BITH,no,Pied-billed Grebe,Podilymbus podiceps,PBGR,no,no,not landbird,NA,NA,NA_NA
1089,BITH,yes,Carolina Chickadee,Poecile carolinensis,CACH,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1331,BITH,yes,Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1339,BITH,yes,Vesper Sparrow,Pooecetes gramineus,VESP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1886,BITH,no,Purple Gallinule,Porphyrio martinica,PUGA,no,no,not landbird,NA,NA,NA_NA
1887,BITH,no,Sora,Porzana carolina,SORA,no,no,not landbird,NA,NA,NA_NA
1347,BITH,yes,Purple Martin,Progne subis,PUMA,no,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1353,BITH,yes,Prothonotary Warbler,Protonotaria citrea,PROW,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1359,BITH,yes,Vermilion Flycatcher,Pyrocephalus rubinus,VEFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1363,BITH,yes,Boat-tailed Grackle,Quiscalus major,BTGR,no,no,,Omnivore, ground forager,Omnivore_ ground forager
1367,BITH,yes,Great-tailed Grackle,Quiscalus mexicanus,GTGR,no,no,,Omnivore, ground forager,Omnivore_ ground forager
1374,BITH,yes,Common Grackle,Quiscalus quiscula,COGR,no,yes,,Omnivore, ground forager,Omnivore_ ground forager
1888,BITH,no,King Rail,Rallus elegans,KIRA,no,no,not landbird,NA,NA,NA_NA
1889,BITH,no,Virginia Rail,Rallus limicola,VIRA,no,no,not landbird,NA,NA,NA_NA
1890,BITH,no,Clapper Rail,Rallus longirostris,MARA,no,no,not landbird,NA,NA,NA_NA
1891,BITH,no,American Avocet,Recurvirostra americana,AMAV,no,no,not landbird,NA,NA,NA_NA
1382,BITH,yes,Ruby-crowned Kinglet,Regulus calendula,RCKI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1389,BITH,yes,Golden-crowned Kinglet,Regulus satrapa,GCKI,no,nob,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1395,BITH,yes,Bank Swallow,Riparia riparia,BANS,no,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1892,BITH,no,Black Skimmer,Rynchops niger,BLSK,no,no,not landbird,NA,NA,NA_NA
