order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1658,GUIS-MS,yes,Black-throated Green Warbler,Setophaga virens,BTNW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1665,GUIS-MS,yes,Eastern Bluebird,Sialia sialis,EABL,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1670,GUIS-MS,yes,Red-breasted Nuthatch,Sitta canadensis,RBNU,no,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
1674,GUIS-MS,yes,White-breasted Nuthatch,Sitta carolinensis,WBNU,no,no,,Insectivore, bark gleaner,Insectivore_ bark gleaner
1677,GUIS-MS,yes,Brown-headed Nuthatch,Sitta pusilla,BHNU,yes,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
1684,GUIS-MS,yes,Yellow-bellied Sapsucker,Sphyrapicus varius,YBSA,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1689,GUIS-MS,yes,Pine Siskin,Spinus pinus,PISI,no,no,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1698,GUIS-MS,yes,American Goldfinch,Spinus tristis,AMGO,yes,yes,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1706,GUIS-MS,yes,Dickcissel,Spiza americana,DICK,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1719,GUIS-MS,yes,Chipping Sparrow,Spizella passerina,CHSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1726,GUIS-MS,yes,Field Sparrow,Spizella pusilla,FISP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1733,GUIS-MS,yes,Northern Rough-winged Swallow,Stelgidopteryx serripennis,NRWS,no,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1560,GUIS-MS,no,Parasitic Jaeger,Stercorarius parasiticus,PAJA,no,yes,not landbird,NA,NA,NA_NA
1564,GUIS-MS,no,Pomarine Jaeger,Stercorarius pomarinus,POJA,no,yes,not landbird,NA,NA,NA_NA
1511,GUIS-MS,no,Forster's Tern,Sterna forsteri,FOTE,yes,yes,not landbird,NA,NA,NA_NA
1589,GUIS-MS,no,Common Tern,Sterna hirundo,COTE,no,no,not landbird,NA,NA,NA_NA
1496,GUIS-MS,no,Least Tern,Sternula antillarum,LETE,yes,yes,not landbird,NA,NA,NA_NA
1739,GUIS-MS,yes,Eurasian Collared-dove,Streptopelia decaocto,EUCD,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1520,GUIS-MS,no,Barred Owl,Strix varia,BADO,no,yes,not landbird,NA,NA,NA_NA
1747,GUIS-MS,yes,Eastern Meadowlark,Sturnella magna,EAME,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
